category,text
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Dokładne wyniki i daty przeprowadzonych badań nieniszczących (NDT) wraz z parametrami metod (np. typ skanów ultradźwiękowych, rozdzielczość, procedury kalibracji)."
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Dokładne techniczne informacje o uszkodzeniach infrastruktury (które elementy linii 330 kV, charakter uszkodzeń)."
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Informacje o ostatnich przeglądach sejsmicznych, modernizacjach strukturalnych i wynikach testów okresowych."
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Szczegółowa dokumentacja napraw: opis usuniętych usterek, wykonawcy, daty prac, procedury walidacji i wyniki testów powykonawczych"
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Dane o personelu: skład, status kwalifikacji, ewentualne zmiany personalne po przejęciu obiektu oraz warunki pracy (ograniczenia dostępu, presja polityczna)"
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Miejsce awarii w instalacji (system, komponent, rurociąg, zawór, uszczelnienie itp.)"
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Dokładna liczba kwalifikowanych pracowników (operatorzy reaktora, technicy radiochemii, personel utrzymania) zatrudnionych w NCBJ oraz liczba konieczna do zapewnienia minimalnej obsady na zmianie zgodnie z procedurami"
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Bezpośrednie odwołania do konkretnych elementów konstrukcyjnych budynków reaktorowych (np. obudowa hermetyczna, budynek osłonowy, separatory) i jak ich zewnętrzne uszkodzenia lub brak takich uszkodzeń wpływają na bezpieczeństwo (konkrety techniczne)."
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Dokładna identyfikacja trafionych obiektów i systemów (agregaty diesla, UPS, pętle pierwotnego i wtórnego chłodzenia, pomieszczenia maszynowni, magazyny paliwa, systemy odzysku ciepła itp.)"
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Dokumentacja liczby, kwalifikacji i zakresu obowiązków personelu Rosatomu oraz zapisy obecności i rotacji ukraińskiego personelu operacyjnego"
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Informacje o tym, czy odnaleziono jakiekolwiek ślady przemieszczonych pojemników (np. zapisy CCTV, świadkowie, trasy wywozu złomu)."
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,Informacje o środkach cyberbezpieczeństwa i ochronie łączności krytycznej infrastruktury przed atakami hybrydowymi.
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Pełne, datowane raporty o zgłaszanych incydentach (opis zdarzenia, przyczyny, zakres, działania naprawcze) z dokumentacją weryfikującą"
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Dokładne dane czasowe i współrzędne przelotu drona oraz analizy trajektorii (np. zdjęcia/filmy, analiza satelitarna lub radarowa)."
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Skład i liczebność personelu operacyjnego, ich zdolność do rotacji, plan pracy i kryteria zmęczenia operatorów."
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Dokładne odległości trafień/eksplozji od krytycznych elementów elektrowni (stacje transformatorowe, budynki turboalternatorów, przyłącza generatorów diesel)."
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Szerszy kontekst operacyjny (czy w rejonie trwa większa operacja militarna, czy ostrzał dotyczył też pozycji frontowych itp.)."
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Dokładne informacje o procedurach zabezpieczenia transportu (typy użytych kontenerów, standardy IEC/IAEA, trasy, środki ochrony przed wypadkiem lub atakiem)."
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,Dane operacyjne z pierwszych miesięcy pracy (wskaźnik availability rzeczywisty) lub planowane harmonogramy przeglądów i ich oczekiwane długości
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Ocena stanu zabezpieczeń fizycznych (pancerze, bariery, systemy gaśnicze, redundancja układów chłodzenia) oraz ich odporności na ostrzał/uderzenia"
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Operacyjne procedury awaryjne oraz konkretne, liczbowe kryteria wygaszania reaktora (progi godzin autonomii, temperatury, ciśnienia, dostęp serwisowy)."
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,Informacje o czasie od ostatniego gruntownego sprzątania i rodzaju sprzątania w każdym mieszkaniu
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Badania i wyniki odporności kadłuba (hull) na korozję, zmęczenie materiału, oraz testy odporności na sztormy/kolizje i procedury kotwiczenia/holowania"
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Szczegóły techniczne zetknięcia: prędkość/manewry, punkt kontaktu, siły działające na korpus i osłonę ochronną"
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Szczegółowe informacje o obsadzie personelu kluczowych stanowisk (liczba, kwalifikacje, zmiany) oraz wpływ zatrzymań/osób rannych na możliwość prowadzenia krytycznych operacji"
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Danych nt. niezawodności i wieku uruchamianych bloków oraz zakresu i kosztów przeprowadzonych modernizacji komponentów krytycznych dla bezpieczeństwa (np. systemy zasilania awaryjnego, zawory, uszczelnienia)."
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Precyzyjne informacje o przyczynach technicznych: które systemy zawiodły (agregaty diesla, rozdzielnie, pompy), gdzie nastąpiły uszkodzenia mechaniczne/pożarowe"
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Opis zastosowanych działań naprawczych i oczyszczania (metody, harmonogram, postępy, wydajność usuwania trytu)."
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Ewentualne plany testów mechanicznych lub metalurgicznych (np. makro-/mikroskopowa analiza, twardość, badania szczelinowe, próby rozciągania/udarności na wydzielonych próbkach)."
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,Wyniki i wnioski inspekcji technicznych oraz jakie testy/naprawy przeprowadzono lub są planowane
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Dokumentacja świadków: datowane nagrania, oświadczenia personelu ZEA, raporty lokalnych służb ratunkowych i medycznych"
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,Szczegóły dotyczące obecności materiałów wybuchowych i ich lokalizacji względem krytycznych instalacji
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,Szczegóły techniczne kompatybilności infrastruktury z systemami magazynowania głowic (np. potwierdzenie instalacji WS3 lub równoważnych skrytek)
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Konkretne informacje jakie pliki/dokumenty zostały skopiowane/udostępnione (szczególnie konfiguracje PLC, P&ID, checklisty awaryjne)"
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Konkretne informacje o rodzaju i lokalizacji uszkodzonych budynków/elementów (np. które generatory, które segmenty kablowe), potwierdzone przez inspekcje lub zdjęcia satelitarne."
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Streszczenia i/lub raporty łączności operacyjnej (komunikaty personelu, alarmy, przełączenia)"
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Analizy alternatywnych danych zdalnych, nawet jeśli publicznie niedostępnych — np. czy dostępne są niższej rozdzielczości obrazy termalne lub notacje SAR z innych źródeł, które mogłyby potwierdzić/obalić obserwacje optyczne."
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Szczegóły techniczne incydentu wymienionego przez szefa MAEA: wektory ataku, dotknięte systemy (IT vs. OT/ICS), zakres zakłóceń operacyjnych"
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Pełne raporty techniczne FANC i operatora: dokładne miejsce nieszczelności, czy dotyczyło obiegu wtórnego czy pierwotnego, charakter uszkodzenia elementu (materiałowy/łączeniowy/projektowy)."
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Techniczne wyzwania wysokich temperatur (materiały, trwałość termiczna, wymiana ciepła) oraz środki zaradcze"
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Konkretne dane o stanie technicznym krytycznych komponentów (wiek, stopień zużycia, wyniki diagnostyki) oraz lista wymaganych zamienników/typów urządzeń."
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Dokumentacja liczby, kwalifikacji i obowiązków personelu Rosatomu oraz informacji o stanie i rotacjach personelu ukraińskiego na miejscu"
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Dokładny charakter, rozmiar i lokalizacja pęknięć (materiał, część instalacji) oraz czy są one aktywnie postępujące."
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Dane dotyczące ładunku drona: masa, typ materiału wybuchowego, konstrukcja głowicy, prędkość uderzenia, czy użyto ładunków kumulacyjnych/przenikliwych"
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Informacje o zabezpieczeniach i fizycznym rozmieszczeniu zakładów (czy są głęboko pod ziemią, chronione itp.)"
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Informacje o stanie załogi: liczba personelu uprawnionego do operacji krytycznych, rotacje, długości zmian, obecność presji/zastraszania, ograniczenia w komunikacji z regulatorami"
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Szczegółowe wyniki ostatnich inspekcji regulatora (konkretne wskaźniki, raporty, liczba i charakter zdarzeń TRIP oraz ich przyczyny i naprawy)."
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Dokumentacja działań operacyjnych TEPCO (ile wody wtłoczono, jakie ciśnienia, zastosowane procedury) i ich skuteczność"
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Informacje o rodzaju i rozdzielczości wykorzystanych zdjęć Maxar oraz metodologii analizy (daty, porównania przed/po, ekspertiza obrazu)."
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,Dokumentacja decyzji operacyjnych i kryteriów decydujących o ograniczeniu mocy lub wyłączeniu bloku (triggery i procedury)
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Dokładna data i miejsce ostatniej fizycznej kontroli oraz jej wyniki (kto przeprowadzał, co sprawdzono)."
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,Chronologia pojawiania się pęknięć — liczba nowych pęknięć w poszczególnych przeglądach i tempie przyrostu
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Szczegółowy techniczny opis, które systemy monitorowania i zabezpieczeń utraciły połączenie (np. radiometryczne pomiary, systemy chłodzenia, monitoring promieniowania na terenie obiektu)."
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Szczegółowe procedury wejścia/wyjścia dla personelu technicznego, służb ratunkowych i mieszkańców (czas oczekiwania, odwołania, identyfikacja tymczasowa)"
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Pełne raporty inspekcji technicznej FANC i operatora z opisem przyczyny, śladami korozji/zmęczenia materiału, wynikami badań nieniszczących (NDT) i zaleceniami naprawczymi."
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Informacje o tym, czy w wyniku przerwy doszło do konkretnych incydentów operacyjnych (nawet drobnych) w obiektach objętych programami — brak publicznych raportów nie wyklucza lokalnych problemów dokumentowanych wewnętrznie"
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Dokumentacja czasu reakcji: kiedy wykryto wyciek, kiedy zidentyfikowano źródło, jakie działania podjęto i w jakim terminie (timeline)."
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Potwierdzenia od operatora lub niezależnych ekspertów co do skali danych personalnych (ile osób, które role) i czy osoby te są narażone na bezpośrednie represje."
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Szczegóły dotyczące obecności i roli personelu Rosatomu i sprzętu wojskowego (czy ingerują w operacje, kontrolę dostępu, czy stanowią ryzyko bezpośredniego zagrożenia dla systemów)"
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Działania operatora (TEPCO) i regulatora (NISA/ później NRA) przed i po zdarzeniu — procedury awaryjne, decyzje o ewakuacji, problemy komunikacyjne, ocena przygotowania."
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,Informacje o ryzyku transportu i praktykach redukujących to ryzyko wraz z danymi o częstotliwości oraz skutkach incydentów transportowych.
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Szczegóły dotyczące mechanizmu zdarzenia: czy korpus rzeczywiście upadł/uderzył o podłoże, czy doszło do poślizgu/uderzenia, parametry uderzenia (prędkość, energia kinetyczna) oraz punkt kontaktu i jego orientacja."
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,Konkrety dotyczące obecności min w strefie buforowej: dokumentacja usunięcia/min ponownego pojawienia się i wpływ na możliwość bezpiecznej eksploatacji/serwisu.
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Dokładna przyczyna techniczna odłączenia: opis odchylenia w turbinie/układzie pomocniczym, czy wystąpiły błędy ludzkie, awarie sprzętu czy systemowe problemy eksploatacyjne."
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,Dane wywiadowcze/satelitarne dotyczące obecności instalacji konwersyjnych lub przemysłowych powiązań
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Operacyjne procedury awaryjne i kryteria wygaszania reaktora obecnie obowiązujące u operatora i regulatora (konkretne wartości autonomii generatorów, progi temperatur/ciśnień, dostęp serwisowy)."
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,Mapy stref ochronnych elektrowni z aktualnymi granicami i fizycznymi ograniczeniami dostępu
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Dane o przesunięciach i kwalifikacjach personelu: transfery personelu z autoryzacjami do obsługi głowic, szkolenia, certyfikacje (liczba, stopień uprawnień)."
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Wiarygodne dane wywiadowcze o ewentualnych transferach (daty, trasy, uczestniczące statki/samoloty, przeładunki, zaangażowane podmioty)"
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Dane o środkach zapobiegawczych podjętych natychmiast po zaginięciu przez firmę (np. powiadomienie regulatora, wewnętrzne procedury, przeszkolenie personelu)."
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Dokładny status i tożsamość personelu operacyjnego: czy ukraiński personel nadal wykonuje dyżury, czy występują rosyjscy operatorzy, czy są zespoły mieszane oraz dane o kluczowych kwalifikacjach i certyfikatach."
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Dokumentacja liczby i kwalifikacji personelu Rosatomu oraz ewentualne zmiany w personelu operacyjnym elektrowni (rotacje, przymusowe zastępowanie ukraińskiego personelu)."
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,Dokładny skład i liczebność pozostałego personelu technicznego oraz ich kwalifikacje
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Datowane, niezależnie przeanalizowane zdjęcia satelitarne z wykazem zmian rozmieszczenia sprzętu w czasie (z opisem metodologii analizy)"
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Szczegółowe analizy trajektorii i korelacji między aktywnościami lądowymi, morskimi i powietrznymi (czy rzeczywiście miały miejsce jednoczesne, zsynchronizowane manewry)"
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Szczegółowe specyfikacje zamówień: liczba zamówionych osłon balistycznych, klasy odporności, producenci, pełne opisy (czy to standardowe osłony, czy systemy kompatybilne z magazynami WS3)."
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Zastosowane i planowane środki naprawcze oraz harmonogramy inspekcji i remontów, w tym kryteria decydujące o wyłączeniu reaktorów."
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,Ocena możliwości i procedur MAEA dotyczących bezpiecznego przywrócenia cywilnej kontroli nad elektrownią oraz ograniczeń prawnych związanych ze zmianą statusu operatora.
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Techniczne i proceduralne szczegóły zabezpieczeń: typy plomb, standardy pakowania i transportu, wymagania dotyczące przewoźników, progi aktywności wymuszające dodatkowe środki"
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,Ocena wpływu ograniczonego dostępu personelu / okupacji obiektu na utrzymanie systemów bezpieczeństwa i procedur awaryjnych.
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,Statystyki i wyniki testów niezawodności oraz raporty regulatora potwierdzające usunięcie usterek turbiny i stan systemów bezpieczeństwa.
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,Dokumentacja fotograficzna/satelitarna potwierdzająca miejsca trafień i zasięg zadymienia
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Konkrety dotyczące kryteriów oceny zdjęć satelitarnych (rozdzielczość, kąty, identyfikacja systemów uzbrojenia)"
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Pełne protokoły badań nieniszczących (UT, RT, MT, PT, kontrola szczelin) z opisem metod, ustawień sprzętu, zakresu skanów i kryteriów akceptacyjnych"
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,Konkretne daty wykrycia poszczególnych pęknięć i incydentów oraz historyczne zapisy inspekcji AFCN
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Szczegóły śledztwa: które systemy/serwery zostały naruszone, czy doszło do transferu poza sieć korporacyjną, identyfikacja kont podejrzanych o nieautoryzowany dostęp"
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Informacje techniczne o podjętych działaniach naprawczych i o planach długoterminowych (wymiany, wzmocnienia, ograniczenia mocy)."
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Dokumentacja techniczna kolektorów: daty instalacji, materiały, przekroje, mapy dokładnego przebiegu, połączenia z systemami kanalizacyjnymi i oczyszczalniami, historia inspekcji i wcześniejszych napraw oraz zgłoszonych wycieków"
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Kontekst logistyczny: liczba i kwalifikacje personelu pracującego przy przywracaniu zasilania, procedury komunikacji kryzysowej z mieszkańcami i służbami."
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Rekomendacje operacyjne i polityczne: co konkretnie należy zmienić (np. centralizacja źródeł, ograniczenia przy wydawaniu źródeł, monitoring przewozów, programy odzysku i utylizacji)"
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,Weryfikowalne informacje o rozmieszczeniu i typie sprzętu bojowego oraz materiałach wybuchowych na terenie elektrowni
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,Mapy uszkodzeń i ich relacja do kluczowych elementów bezpieczeństwa reaktora i składowania paliwa.
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,Dokumentacja dotycząca obecnego składu i kwalifikacji personelu operacyjnego oraz ewentualnych zmian po przejęciu przez siły rosyjskie
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Dokumentacja wykonywanych działań łagodzących: jakie systemy awaryjne i procedury zostały uruchomione, jakie paliwo chłodzą/kim są zespoły interwencyjne i ich zdolności do pracy w warunkach podwyższonego promieniowania."
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Pełny raport FANC i operatora z dokładną lokalizacją nieszczelności (pierwotny/wtórny/pomocniczy), rodzajem łączenia i materiałem"
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Analizy alternatywnych ścieżek weryfikacji (satellitarne zdjęcia, dane meteorologiczne użyte w symulacjach, raporty państw sąsiednich)."
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Szczegóły konstrukcyjne magazynu: grubość i klasa betonu, obecność stalowych osłon, bariery wtórne, sposób wentylacji i filtracji, certyfikaty odporności na wybuchy/uderzenia."
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Dokumentacja chronologii kluczowych decyzji operacyjnych (czasowe ramy awarii chłodzenia, odcięcia zasilania, momenty uwolnień radiacyjnych) dla precyzyjnego zrozumienia przebiegu wypadku."
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Datowane i geokodowane, wysokorozdzielcze zdjęcia satelitarne (z komentarzem analityków) jednoznacznie pokazujące rozmieszczenie sprzętu przy konkretnych elementach ZEA."
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Szczegółowy opis materiałowy korpusu: rodzaj stali, specyfikacje normowe, historia produkcji i obróbki cieplnej"
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Pełne protokoły badań nieniszczących (UT, RT, MT, PT, kontrola szczelin) z kryteriami akceptacji i wynikami"
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Dokumentacja ageing management, harmonogramy wymiany krytycznych komponentów oraz wyniki zewnętrznych audytów materiałowych."
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Konkrety dotyczące tego, jakie amerykańskie pliki/dokumenty/oprogramowanie znajdują się w zakładzie (kategorie są wymienione, ale brak granularności)"
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Dokładne współrzędne i charakter (siła, kierunek) detonacji względem kluczowych elementów: reaktorów, basenów wypalonego paliwa, agregatów dieslowskich, punktów zasilania i linii przesyłowych."
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Weryfikowalne dane o rozmieszczeniu, typie i czasie obecności sprzętu wojskowego oraz materiałów wybuchowych na terenie elektrowni"
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Dane o czasie reakcji operatora, wdrożonych procedurach awaryjnych i ich skuteczności (co zadziałało, co zawiodło)"
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Konkretne numery (jeśli istnieją) wstępnych raportów inspekcyjnych sporządzonych natychmiast po zdarzeniu (daty, autorzy, numery raportów)"
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,Datowane i analizowane przez niezależnych analityków zdjęcia satelitarne pokazujące rozmieszczenie sprzętu i jego zmiany w czasie
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,Mapy położenia pożarów i szczegółowe dane czy spaleniu uległa tylko biomasa czy także wierzchnia warstwa gleby (próby gleby przed/po pożarze lub analiza popiołu)
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Opis procedur operatorów jądrowych na Ukrainie (np. automatyczne wyłączenia, procedury chłodzenia, współpraca z Międzynarodową Agencją Energii Atomowej) i ich zdolność do długotrwałego działania w warunkach zniszczonej sieci."
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Dokumentacja łańcucha dostaw: historia transportu i przechowywania korpusu, protokoły dotyczące podnoszeń wcześniejszych i certyfikaty sprzętu dźwigowego oraz kwalifikacje operatorów."
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Historia awaryjności i konserwacji tego konkretnego bloku (częstotliwość wcześniejszych zdarzeń, ostatnie przeglądy techniczne)."
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Lista obsady kluczowego personelu operacyjnego, zmiany personalne i ewentualne przerwy w dostępności specjalistów"
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Informacje o procedurach operacyjnych i kontrolach jakości, które doprowadziły do wykrycia nieszczelności (czy to rutynowa kontrola, zgłoszenie personelu itp.)."
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Konkretnie jakie środki zapobiegawcze są planowane/rozważane (zmiany procedur, dodatkowe inspekcje, szkolenia)."
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Szczegółowe informacje o stanie i uszkodzeniach infrastruktury zewnętrznej (stacje transformatorowe, linie przesyłowe, drogi logistyczne) potwierdzone niezależnymi źródłami"
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Konkretne techniczne detale dotyczące zakresu zakłóceń w przytoczonym incydencie (np. które systemy pomocnicze, czas trwania, czy wymagało to wyłączenia jednostki)"
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Konkrety dotyczące zakresu wyciekłych plików: liczba plików, typy plików (np. GIS, CAD, PDF), czy zawierały metadane geograficzne"
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Dokumentacja procedur awaryjnych i zapisów ćwiczeń personelu dotyczących przejścia na zasilanie awaryjne oraz przebieg manualnych interwencji (kto, jakie działania, czasy)"
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Zakres nadzoru jakości i kontroli proceduralnej podczas przeglądów (checklisty, niezależne inspekcje)."
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,Dostęp do nagrań/ streszczeń łączności operacyjnej i raportów sytuacyjnych kierownictwa elektrowni
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Jakie konkretne typy wewnętrznych uszkodzeń były zgłaszane w wcześniejszych raportach (np. które rurociągi, które pompy) — by móc ocenić ich prawdopodobną zewnętrzną sygnaturę."
Dokumentacja dotycząca personelu operacyjnego i procedur awaryjnych,"Konkretny opis incydentów z ostatnich miesięcy (daty, miejsca ostrzałów, uszkodzenia infrastruktury, raporty IAEA, świadectwa personelu)."
